size,threshold,random,reversed,almost_sorted
9600,30,2982,2237,2063
9600,50,2822,2303,1765
9700,5,4028,3161,3117
9700,10,3395,2581,2501
9700,15,3376,2602,2533
9700,20,3028,2290,2107
9700,30,3093,2337,2111
9700,50,2947,2372,1816
9800,5,4019,3203,3144
9800,10,3462,2593,2544
9800,15,3433,2624,2520
9800,20,3071,2296,2121
9800,30,3057,2296,2102
9800,50,2877,2351,1785
9900,5,4289,3421,3306
9900,10,3461,2610,2552
9900,15,3444,2615,2544
9900,20,3075,2313,2139
9900,30,3088,2310,2122
9900,50,2910,2381,1812
10000,5,4072,3217,3170
10000,10,3487,2634,2566
10000,15,3466,2657,2573
10000,20,3113,2338,2139
10000,30,3103,2339,2143
10000,50,2934,2402,1818
10100,5,4093,3229,3186
10100,10,3507,2667,2575
10100,15,3509,2658,2583
10100,20,3152,2365,2159
10100,30,3135,2363,2151
10100,50,2970,2440,1839
10200,5,4121,3251,3200
10200,10,3551,2681,2606
10200,15,3538,2674,2613
10200,20,3170,2401,2176
10200,30,3162,2398,2172
10200,50,3009,2474,1857
10300,5,4198,3305,3254
10300,10,3613,2751,2655
10300,15,3569,2705,2624
10300,20,3253,2445,2244
10300,30,3206,2411,2196
10300,50,3037,2495,1870
10400,5,4269,3381,3332
10400,10,3705,2822,2763
10400,15,3610,2724,2646
10400,20,3352,2540,2360
10400,30,3224,2432,2223
10400,50,3059,2526,1889
10500,5,4368,3417,3402
10500,10,3798,2895,2829
10500,15,3637,2743,2670
10500,20,3465,2616,2459
10500,30,3262,2463,2236
10500,50,3099,2564,1911
10600,5,4439,3530,3464
10600,10,3893,2984,2911
10600,15,3664,2766,2680
10600,20,3571,2698,2564
10600,30,3295,2486,2253
10600,50,3135,2597,1934
10700,5,4541,3607,3530
10700,10,4004,3065,2996
10700,15,3702,2812,2706
10700,20,3665,2777,2673
10700,30,3333,2511,2273
10700,50,3264,2625,1957
10800,5,4593,3676,3598
10800,10,4079,3148,3079
10800,15,3744,2822,2725
10800,20,3734,2820,2727
10800,30,3360,2535,2293
10800,50,3193,2655,1960
10900,5,4688,3736,3675
10900,10,4169,3224,3167
10900,15,3771,2845,2751
10900,20,3761,2840,2753
10900,30,3392,2561,2332
10900,50,3235,2689,1984
11000,5,4763,3802,3746
11000,10,4277,3313,3231
11000,15,3804,2875,2774
11000,20,3802,2882,2774
11000,30,3418,2577,2331
11000,50,3263,2722,1988
11100,5,4848,3869,3816
11100,10,4354,3372,3327
11100,15,3834,2890,2797
11100,20,3840,2889,2793
11100,30,3469,2611,2348
11100,50,3305,2758,2013
11200,5,4942,3952,3874
11200,10,4418,3451,3411
11200,15,3863,2922,2814
11200,20,3855,2910,2815
11200,30,3476,2637,2378
11200,50,3320,2796,2026
11300,5,5347,4143,4000
11300,10,4515,3525,3465
11300,15,3904,2933,2834
11300,20,3895,2936,3294
11300,30,3523,2678,2392
11300,50,3369,2821,2045
11400,5,5100,4093,4040
11400,10,4534,3551,3481
11400,15,3922,2960,2852
11400,20,3944,2956,2848
11400,30,3553,2684,2409
11400,50,3408,2856,2060
11500,5,5199,4161,4150
11500,10,4586,3566,3544
11500,15,3983,2980,2881
11500,20,3959,2991,2889
11500,30,3583,2740,2422
11500,50,3442,2891,2079
11600,5,5271,4238,4190
11600,10,4613,3620,3535
11600,15,4149,3213,2901
11600,20,3999,3003,2900
11600,30,3614,2743,2445
11600,50,3468,2923,2116
11700,5,5353,4330,4271
11700,10,4654,3620,3564
11700,15,4036,3027,2926
11700,20,4035,3030,2927
11700,30,3649,2764,2466
11700,50,3533,2962,2118
11800,5,5438,4408,4336
11800,10,4675,3652,3585
11800,15,4062,3064,2939
11800,20,4064,3050,2943
11800,30,3680,2794,2487
11800,50,3528,3001,2136
11900,5,5524,4454,4389
11900,10,4711,3664,3605
11900,15,4081,3093,2977
11900,20,4086,3076,2969
11900,30,3713,2822,2502
11900,50,3568,3022,2147
12000,5,5623,4535,4478
12000,10,4744,3688,3634
12000,15,4121,3094,2986
12000,20,4114,3085,2978
12000,30,3735,2847,2518
12000,50,3604,3054,2163
12100,5,5681,4607,4552
12100,10,4788,3724,3663
12100,15,4158,3119,3007
12100,20,4150,3160,3006
12100,30,3772,2871,2543
12100,50,3634,3089,2183
12200,5,5776,4675,4618
12200,10,4800,3751,3709
12200,15,4183,3149,3017
12200,20,4193,3150,3027
12200,30,3807,2914,2568
12200,50,3665,3116,2200
12300,5,5815,4721,4671
12300,10,4835,3762,3704
12300,15,4213,3172,3038
12300,20,4220,3181,3050
12300,30,3825,2924,2586
12300,50,3693,3158,2216
12400,5,5862,4774,4694
12400,10,4885,3789,3729
12400,15,4253,3198,3063
12400,20,4239,3199,3078
12400,30,3861,2945,2599
12400,50,3738,3198,2238
12500,5,5913,4786,4734
12500,10,4918,3825,3763
12500,15,4283,3222,3087
12500,20,4293,3223,3095
12500,30,3894,2980,2611
12500,50,3764,3231,2254
12600,5,5940,4809,4751
12600,10,4944,3842,3773
12600,15,4309,3248,3111
12600,20,4312,3233,3121
12600,30,3950,3003,2638
12600,50,3791,3267,2266
12700,5,5980,4836,4770
12700,10,4978,3862,3804
12700,15,4335,3268,3141
12700,20,4345,3262,3145
12700,30,3967,3037,2651
12700,50,3838,3299,2285
12800,5,6013,4862,4805
12800,10,5013,3881,3819
12800,15,4399,3329,3166
12800,20,4387,3300,3152
12800,30,3988,3052,2668
12800,50,3891,3339,2299
12900,5,6048,4917,4823
12900,10,5054,3902,3823
12900,15,4428,3304,3170
12900,20,4409,3311,3171
12900,30,4027,3087,2679
12900,50,3949,3272,2457
13000,5,6108,4933,4855
13000,10,5090,3950,3856
13000,15,4451,3346,3181
13000,20,4443,3339,3184
13000,30,4052,3107,2701
13000,50,4033,3193,2624
13100,5,6142,4954,4869
13100,10,5118,3957,3882
13100,15,4485,3364,3200
13100,20,4488,3357,3203
13100,30,4088,3129,2716
13100,50,4095,3123,2718
13200,5,6181,4989,4907
13200,10,5153,3975,3902
13200,15,4514,3399,3219
13200,20,4504,3384,3235
13200,30,4117,3160,2738
13200,50,4121,3178,2732
13300,5,6209,5019,4940
13300,10,5179,4008,3916
13300,15,4531,3407,3277
13300,20,4522,3407,3265
13300,30,4148,3189,2751
13300,50,4162,3193,2756
13400,5,6251,5031,4970
13400,10,5219,4068,3967
13400,15,4576,3445,3286
13400,20,4572,3433,3272
13400,30,4189,3217,2781
13400,50,4177,3226,2787
13500,5,6286,5078,4981
13500,10,5258,4057,3969
13500,15,4621,3446,3294
13500,20,4593,3447,3295
13500,30,4212,3247,2799
13500,50,4213,3224,2810
13600,5,6326,5097,5015
13600,10,5355,4129,4053
13600,15,4674,3511,3336
13600,20,4726,3552,3341
13600,30,4276,3324,2834
13600,50,4274,3335,2846
13700,5,6412,5204,5094
13700,10,5390,4142,4067
13700,15,4741,3530,3370
13700,20,4718,3534,3371
13700,30,4308,3320,2840
13700,50,4360,3378,2855
13800,5,6489,5219,5172
13800,10,5459,4177,4103
13800,15,4743,3587,3398
13800,20,4724,3527,3397
13800,30,4370,3320,2859
13800,50,4386,3367,2899
13900,5,6576,5262,5197
13900,10,5460,4239,4129
13900,15,4848,3607,3423
13900,20,4919,3687,3487
13900,30,4371,3384,2938
13900,50,4379,3368,2889
14000,5,6581,5243,5199
14000,10,5482,4255,4118
14000,15,4858,3600,3470
14000,20,4842,3622,3483
14000,30,4415,3436,2940
14000,50,4415,3400,2920
14100,5,6575,5262,5177
14100,10,5508,4227,4186
14100,15,4838,3635,3465
14100,20,4895,3720,3498
14100,30,4507,3474,2967
14100,50,4477,3449,2931
14200,5,6603,5312,5218
14200,10,5618,4338,4200
14200,15,4908,3692,3498
14200,20,4918,3647,3466
14200,30,4463,3452,2936
14200,50,4456,3447,2919
14300,5,6639,5313,5242
14300,10,5583,4300,4207
14300,15,4885,3642,3464
14300,20,4854,3641,3455
14300,30,4475,3454,2953
14300,50,4472,3456,2948
14400,5,6641,5316,5916
14400,10,5604,4305,4194
14400,15,4941,3734,3541
14400,20,4947,3716,3520
14400,30,4571,3539,3007
14400,50,4545,3527,3021
14500,5,6681,5351,5251
14500,10,5622,4294,4203
14500,15,4942,3694,3498
14500,20,4969,3711,3544
14500,30,4588,3567,3060
14500,50,4654,3561,3027
14600,5,6726,5401,5300
14600,10,5746,4401,4275
14600,15,5033,3756,3562
14600,20,5499,3741,4050
14600,30,4619,3595,3028
14600,50,4609,3566,3040
