size,random,reversed,almost_sorted
69900,56842,49231,49071
70000,55920,53619,48923
70100,56199,49144,50254
70200,56329,49067,48877
70300,57942,49216,48977
70400,56343,49307,49101
70500,56426,49336,49090
70600,56796,49659,49393
70700,56620,49303,49113
70800,56589,49466,49397
70900,56814,49733,49389
71000,56920,49771,49462
71100,57049,49728,49601
71200,56813,49815,49587
71300,57719,50381,49965
71400,57202,49774,49937
71500,57789,50088,50148
71600,61409,52415,53680
71700,58164,50302,49934
71800,58079,50554,50423
71900,57830,50487,50265
72000,57913,50295,50195
72100,57529,50506,50361
72200,57902,50586,50789
72300,57743,50514,50400
72400,57890,50597,50594
72500,58274,51098,51985
72600,58402,51030,51003
72700,60467,51818,51426
72800,58329,51054,50772
72900,58295,51172,51022
73000,58504,51146,51032
73100,59141,51667,51434
73200,58521,51150,50883
73300,59070,51384,51587
73400,58842,51534,51915
73500,58973,54764,51248
73600,58808,51318,51067
73700,59210,51573,51622
73800,59676,52087,52077
73900,59863,51935,52161
74000,58995,51568,51497
74100,59054,51619,51533
74200,59119,51530,51770
74300,59218,51668,51688
74400,59600,51969,51743
74500,59433,51885,51861
74600,60083,52077,51946
74700,59528,52100,51873
74800,59695,52144,52044
74900,59808,52223,52143
75000,59838,52309,52248
75100,59953,52431,52327
75200,60007,52486,52393
75300,60197,52599,52723
75400,60213,52625,52459
75500,60259,52671,52608
75600,60396,53286,52636
75700,60476,52912,52774
75800,60509,53079,52798
75900,60816,53092,52841
76000,60720,53978,53830
76100,60887,53176,52967
76200,60965,53499,53786
76300,61022,53379,53209
76400,61173,53552,53209
76500,61221,53496,53430
76600,61213,53504,53283
76700,61315,53701,53572
76800,61594,53753,53593
76900,61771,53826,53622
77000,61559,53941,53756
77100,61679,54072,53959
77200,61721,54087,53905
77300,61816,54134,53910
77400,62004,54294,54110
77500,63013,55195,55083
77600,62016,54344,54188
77700,62100,54441,54282
77800,62228,56126,54358
77900,62382,54484,54510
78000,62432,54673,54516
78100,62505,54642,54499
78200,62670,54772,54686
78300,62726,54853,54776
78400,62817,54894,54720
78500,62810,54966,54786
78600,62950,55145,55016
78700,63277,55203,55014
78800,63031,55408,54980
78900,63262,55357,55128
79000,63453,55590,55497
79100,63367,55701,55320
79200,63335,55575,55784
79300,65571,58472,55522
79400,63511,55768,55454
79500,63757,55669,55515
79600,63833,55833,55755
79700,63772,55933,55638
79800,64845,56011,56462
79900,63763,56092,55808
80000,63984,56055,55895
80100,64040,56023,56076
80200,64211,56307,55981
80300,64391,56324,56215
80400,64258,56414,56089
80500,64432,56441,56328
80600,64614,56539,56274
80700,64826,56631,56577
80800,64804,56604,56499
80900,64749,56842,56454
81000,64888,56754,56562
81100,65178,56885,57169
81200,65031,56774,56793
81300,65040,56975,56733
81400,65176,57111,56835
81500,65161,57265,56937
81600,65302,57175,57046
81700,65418,57154,57075
81800,65670,57347,57251
81900,65658,57364,57150
82000,65644,57498,57181
82100,65749,57434,57184
82200,65813,57706,57346
82300,66009,60194,60451
82400,66167,57533,57586
82500,66130,57742,57632
82600,66110,57919,57720
82700,66275,58025,57693
82800,66758,58516,58382
82900,66313,58099,57902
83000,66562,58147,57794
83100,66875,58424,58394
83200,66677,58372,58234
83300,66755,58372,58144
83400,67044,58902,58547
83500,68848,59641,59430
